id,input_preview,reference_preview,baseline,fine_tuned_merged
654,"Based on the product title below, answer the question. Question: What is the complete product description? Answer strictly in the format: 'D...",Description: Material: Synthetic Leather. Leather case features smooth synthetic leather and heavy duty stitching... *******FREE GIFT: ANTI RADIATION CHIP: To feel the wonderful effects on the negativ...,Product Title: ATT Iphone 4 16GB BLACK CDMA - Premium Leather Case Holster Pouch Cover Side with BELT CLIP (PLUS FREE SCALAR ANTI-RAD,This is a premium leather case. It is made of the highest quality leather and is designed to fit perfectly to your phone. It is made to last and will protect your phone from daily use. It has a built in stand
114,"Based on the product title below, answer the question. Question: What is the complete product description? Answer strictly in the format: 'D...","Description: Grade 9 Up&ndash;During a summer at the Darlington Peach Orchard in Georgia, Murphy, Leeda, and Birdie discover the true meaning of friendship despite their differences. Murphy, a bright,...","Product Title: Peaches

Description: Peaches are a delicious and nutritious fruit that are packed with vitamins and minerals. They are a great source of fiber, antioxidants,","Peaches are the most popular fruit in the world. They are sweet, juicy, and delicious. Peaches are grown in many countries around the world, including the United States, China, India, Mexico, and Australia."
25,"Based on the product title below, answer the question. Question: What is the complete product description? Answer strictly in the format: 'D...",Description: Santa Checking Christmas List Tapestry ThrowItem #TPM854This colorful holiday tapestry throw features Santa Claus in his workshop going over his Christmas list checking out who has been n...,"Product Title: Santa Checking Christmas List Holiday Tapestry Throw Blanket 50"" x 60""","This Santa Checking Christmas List Tapestry Throw Blanket is 50"" x 60"" and made of heavy weight fabric. It is machine washable and dryable. It is the perfect size to sn"
759,"Based on the product title below, answer the question. Question: What is the complete product description? Answer strictly in the format: 'D...","Description: Founded in 1947, Hal Leonard Corporation has become the worlds largest print music publisher, representing some of the greatest songwriters and artists of all time. We are proud to publis...",Product Title: Disney Songs For Classical Guitar (Standard Notation &amp; Tab),"Disney Songs For Classical Guitar(Standard Notation &amp; Tab) is a collection of 24 songs from the world of Disney, featuring the music and lyrics with both standard notation and tablature. The book"
281,"Based on the product title below, answer the question. Question: What is the complete product description? Answer strictly in the format: 'D...",Description: The fresh baked taste of MET-Rx Big 100 Colossal Brownies makes it hard to believe that each one is packed with 30g of protein including MET-Rx's exclusive METAMYOSYN - and 0g trans fat. ...,"Product Title: MET-Rx Big100 Colossal Bar Super Chocolate Fudge

Description:
The MET-Rx Big100 Colossal Bar Super Chocolate Fud",MET-Rx Big100 Colossal Bar Super Chocolate Fudge 12 Bars 43.5 Ounce MET-Rx Big100 Colossal Bars are
250,"Based on the product title below, answer the question. Question: What is the complete product description? Answer strictly in the format: 'D...","Description: TheFuture&nbsp;Workbookallows students to devote their time to the lessons and specific skill areas that they need to work on most.&nbsp;Futureis a six-level, four-skills course that empo...","Product Title: Future Level 3: English for Results, Workbook",Future Levels are designed to help learners progress from their current level. They are a fun and engaging way to learn English. Each Level covers a specific area of language and is designed to help learners progress from their current level.
228,"Based on the product title below, answer the question. Question: What is the complete product description? Answer strictly in the format: 'D...",Description: Specification-Compatible with all the carriers Galaxy Note 2-Applicable range: 5mm-Input Voltage / Current: DC5V / 1A Qi Standard-Output charging voltage / current: DC5V / 500mA ~ 1000mA-...,Product Title: PowerBot&reg; PB1140-N2 Qi Enabled Standard Wireless Charger Inductive Receiver Tag qi Compatible Charging Card with Quick Charge and,PowerBot PB1140-N2 Qi Enabled Standard Wireless Charger Inductive Receiver Tag qi Compatible Charging Card with Quick Charge and Ultra Slim Design for
142,"Based on the product title below, answer the question. Question: What is the complete product description? Answer strictly in the format: 'D...","Description: Blue Buffalo Blue Bones Natural Dog Dental ChewsBlue Bones are tasty and highly digestible dental chews that will help to freshen your dog's breath and make his teeth sparkle. Plus, Blue ...","Product Title: Blue Buffalo Regular Blue Bones Natural Dog Dental Chews, 27 oz.

Description: Made with all-natural ingredients, these Blue Bones are designed to help keep your dog","Blue Buffalo Regular Blue Bones Natural Dog Dental Chews, 27 oz. These natural chews are made from the highest quality ingredients and are designed to help keep your dog's mouth healthy."
754,"Based on the product title below, answer the question. Question: What is the complete product description? Answer strictly in the format: 'D...","Description: Once you're inside, you won't want to come out! It's slippery when wet, it warms to the touch, it has stimulating inner rings, it stretches to fit, and it's virtually indestructible....","Product Title: New Concepts Deeva Vaginium Masturbator Sleeve, Pink","New Concepts Deeva Vaginium Masturbator Sleeve, Pink. The Deeva Vaginium is a unique masturbator that is designed to stimulate the clitoris and vag"
104,"Based on the product title below, answer the question. Question: What is the complete product description? Answer strictly in the format: 'D...","Description: Kit includes: 7"" Burgundy Cutting Comb, Straight Razor, 7"" Stainless Steel Cutting Shear with Finger-rest, 33 Tooth 7"" Stainless Steel Thinning Shear with Finger-rest, Box of 10 Double-ed...",Product Title: Diamond Edge Barber Kit,"Diamond Edge Barber Kit includes: 100% cotton barber clipper blade, 100% cotton barber clipper comb, 100% cotton barber clipper sh"
692,"Based on the product title below, answer the question. Question: What is the complete product description? Answer strictly in the format: 'D...","Description: Despite its name, thePUNT SURF Goofy Argyle traction padis for goofy and regular footers alike. You'll have fun on this one piece argyle pad.We put a lifetime warranty on all our traction...",Product Title: PUNT SURF Goofy Argyle Traction Pad - 1 Piece Stomp Grip Track Pad for Surfing and Skimboarding with the Stickiest 3M Adhesive.,PUNT SURF Goofy Argyle Traction Pad - 1 Piece Stomp Grip Track Pad For Surfing and Skimboarding with the Stickiest 3M Adhesive. Fits All
758,"Based on the product title below, answer the question. Question: What is the complete product description? Answer strictly in the format: 'D...","Description: Daniel Libeskind is an international figure in architecture and urban design. Libeskind is Principle Design Architect in Studio Libeskind, the firm he founded in 1990; the firm is working...","Product Title: Breaking Ground: An Immigrant's Journey from Poland to Ground Zero

Description: Breaking Ground is a memoir by a Polish immigrant who overcame the challenges","""This is a book about the human condition. It is a book about the human condition in America. It is a book about the human condition in the world. It is a book about the human condition in the aftermath of 9"
